"","GEOID","Time.Period","Coverage"
"1","01003010300","2010_2014",8.05477245267821e-05
"2","01003010300","2015_2019",7.6103500761035e-05
"3","01003010400","2010_2014",0.00011997600479904
"4","01003010400","2015_2019",0
"5","01003010703","2010_2014",0
"6","01003010703","2015_2019",9.61298781920404e-05
"7","01003010704","2010_2014",0.000103092783505155
"8","01003010704","2015_2019",0
"9","01003010705","2010_2014",0
"10","01003010705","2015_2019",0.000104411380840512
"11","01003010800","2010_2014",0.000294741520542064
"12","01003010800","2015_2019",0.000151890259575783
"13","01003010904","2010_2014",8.63185153215365e-05
"14","01003010904","2015_2019",8.64677907479464e-05
"15","01003010905","2010_2014",8.19336337566571e-05
"16","01003010905","2015_2019",0
"17","01003010906","2010_2014",0.000137931034482759
"18","01003010906","2015_2019",0
"19","01003011000","2010_2014",0.000380549716901268
"20","01003011000","2015_2019",0.00026264360358061
"21","01003011101","2010_2014",5.66251415628539e-05
"22","01003011101","2015_2019",0.000103131472914176
"23","01003011102","2010_2014",0
"24","01003011102","2015_2019",0
"25","01003011201","2010_2014",9.56937799043062e-05
"26","01003011201","2015_2019",0.000309232545166156
"27","01003011202","2010_2014",0.000178109816019259
"28","01003011202","2015_2019",0.00158139027658703
"29","01003011300","2010_2014",0.00175676899069204
"30","01003011300","2015_2019",0.00101081717456107
"31","01003011401","2010_2014",0.000101691475534649
"32","01003011401","2015_2019",0.000353513485660935
"33","01003011403","2010_2014",0.000919330315655294
"34","01003011403","2015_2019",0.000650818158763963
"35","01003011405","2010_2014",0.0257498891385535
"36","01003011405","2015_2019",0.0289673405089083
"37","01003011406","2010_2014",0.0116525993387522
"38","01003011406","2015_2019",0.00393455792566474
"39","01003011407","2010_2014",0.00343174742889767
"40","01003011407","2015_2019",0.01070277535803
"41","01003011408","2010_2014",0.0176276099265919
"42","01003011408","2015_2019",0.0243863865766839
"43","01003011501","2010_2014",0
"44","01003011501","2015_2019",7.45712155108128e-05
"45","01003011502","2010_2014",0
"46","01003011502","2015_2019",4.0551500405515e-05
"47","01003011601","2010_2014",0.000380594225393826
"48","01003011601","2015_2019",0.000353067424280163
"49","01003011602","2010_2014",0.000224531925581093
"50","01003011602","2015_2019",0.000328908564173103
