"","GEOID","Time.Period","County","Claims","Events","Comutting.Zone","Shoreline","cz"
"1","01003010100","2010_2014","01003",0,0,"Mobile",1,"11001"
"2","01003010100","2015_2019","01003",1,0,"Mobile",1,"11001"
"3","01003010200","2010_2014","01003",1,0,"Mobile",1,"11001"
"4","01003010200","2015_2019","01003",0,0,"Mobile",1,"11001"
"5","01003010300","2010_2014","01003",1,0,"Mobile",1,"11001"
"6","01003010300","2015_2019","01003",0,0,"Mobile",1,"11001"
"7","01003010400","2010_2014","01003",3,0,"Mobile",1,"11001"
"8","01003010400","2015_2019","01003",4,0,"Mobile",1,"11001"
"9","01003010500","2010_2014","01003",0,0,"Mobile",1,"11001"
"10","01003010500","2015_2019","01003",0,0,"Mobile",1,"11001"
"11","01003010600","2010_2014","01003",0,0,"Mobile",1,"11001"
"12","01003010600","2015_2019","01003",0,0,"Mobile",1,"11001"
"13","01003010701","2010_2014","01003",5,0,"Mobile",1,"11001"
"14","01003010701","2015_2019","01003",9,0,"Mobile",1,"11001"
"15","01003010703","2010_2014","01003",8,0,"Mobile",1,"11001"
"16","01003010703","2015_2019","01003",0,0,"Mobile",1,"11001"
"17","01003010704","2010_2014","01003",21,0,"Mobile",1,"11001"
"18","01003010704","2015_2019","01003",4,0,"Mobile",1,"11001"
"19","01003010705","2010_2014","01003",7,0,"Mobile",1,"11001"
"20","01003010705","2015_2019","01003",0,0,"Mobile",1,"11001"
"21","01003010800","2010_2014","01003",15,0,"Mobile",1,"11001"
"22","01003010800","2015_2019","01003",6,0,"Mobile",1,"11001"
"23","01003010903","2010_2014","01003",0,0,"Mobile",1,"11001"
"24","01003010903","2015_2019","01003",0,0,"Mobile",1,"11001"
"25","01003010904","2010_2014","01003",28,1,"Mobile",1,"11001"
"26","01003010904","2015_2019","01003",0,0,"Mobile",1,"11001"
"27","01003010905","2010_2014","01003",37,1,"Mobile",1,"11001"
"28","01003010905","2015_2019","01003",10,0,"Mobile",1,"11001"
"29","01003010906","2010_2014","01003",0,0,"Mobile",1,"11001"
"30","01003010906","2015_2019","01003",0,0,"Mobile",1,"11001"
"31","01003011000","2010_2014","01003",74,1,"Mobile",1,"11001"
"32","01003011000","2015_2019","01003",1,0,"Mobile",1,"11001"
"33","01003011101","2010_2014","01003",7,0,"Mobile",1,"11001"
"34","01003011101","2015_2019","01003",0,0,"Mobile",1,"11001"
"35","01003011102","2010_2014","01003",66,1,"Mobile",1,"11001"
"36","01003011102","2015_2019","01003",6,0,"Mobile",1,"11001"
"37","01003011201","2010_2014","01003",6,0,"Mobile",1,"11001"
"38","01003011201","2015_2019","01003",1,0,"Mobile",1,"11001"
"39","01003011202","2010_2014","01003",5,0,"Mobile",1,"11001"
"40","01003011202","2015_2019","01003",11,0,"Mobile",1,"11001"
"41","01003011300","2010_2014","01003",16,0,"Mobile",1,"11001"
"42","01003011300","2015_2019","01003",41,0,"Mobile",1,"11001"
"43","01003011401","2010_2014","01003",101,1,"Mobile",1,"11001"
"44","01003011401","2015_2019","01003",2,0,"Mobile",1,"11001"
"45","01003011403","2010_2014","01003",69,1,"Mobile",1,"11001"
"46","01003011403","2015_2019","01003",6,0,"Mobile",1,"11001"
"47","01003011405","2010_2014","01003",291,1,"Mobile",1,"11001"
"48","01003011405","2015_2019","01003",12,0,"Mobile",1,"11001"
"49","01003011406","2010_2014","01003",120,1,"Mobile",1,"11001"
"50","01003011406","2015_2019","01003",3,0,"Mobile",1,"11001"
"51","01003011407","2010_2014","01003",69,1,"Mobile",1,"11001"
"52","01003011407","2015_2019","01003",4,0,"Mobile",1,"11001"
"53","01003011408","2010_2014","01003",57,1,"Mobile",1,"11001"
"54","01003011408","2015_2019","01003",56,2,"Mobile",1,"11001"
"55","01003011501","2010_2014","01003",11,0,"Mobile",1,"11001"
"56","01003011501","2015_2019","01003",0,0,"Mobile",1,"11001"
"57","01003011502","2010_2014","01003",22,0,"Mobile",1,"11001"
"58","01003011502","2015_2019","01003",1,0,"Mobile",1,"11001"
"59","01003011601","2010_2014","01003",66,1,"Mobile",1,"11001"
"60","01003011601","2015_2019","01003",8,0,"Mobile",1,"11001"
"61","01003011602","2010_2014","01003",16,0,"Mobile",1,"11001"
"62","01003011602","2015_2019","01003",6,0,"Mobile",1,"11001"
"63","01025957500","2010_2014","01025",0,0,"Mobile",0,"11001"
"64","01025957500","2015_2019","01025",10,0,"Mobile",0,"11001"
"65","01025957601","2010_2014","01025",0,0,"Mobile",0,"11001"
"66","01025957601","2015_2019","01025",0,0,"Mobile",0,"11001"
"67","01025957602","2010_2014","01025",0,0,"Mobile",0,"11001"
"68","01025957602","2015_2019","01025",0,0,"Mobile",0,"11001"
"69","01025957700","2010_2014","01025",0,0,"Mobile",0,"11001"
"70","01025957700","2015_2019","01025",0,0,"Mobile",0,"11001"
"71","01025957800","2010_2014","01025",0,0,"Mobile",0,"11001"
"72","01025957800","2015_2019","01025",0,0,"Mobile",0,"11001"
"73","01025957901","2010_2014","01025",0,0,"Mobile",0,"11001"
"74","01025957901","2015_2019","01025",0,0,"Mobile",0,"11001"
"75","01025957902","2010_2014","01025",0,0,"Mobile",0,"11001"
"76","01025957902","2015_2019","01025",0,0,"Mobile",0,"11001"
"77","01025958001","2010_2014","01025",0,0,"Mobile",0,"11001"
"78","01025958001","2015_2019","01025",0,0,"Mobile",0,"11001"
"79","01025958002","2010_2014","01025",0,0,"Mobile",0,"11001"
"80","01025958002","2015_2019","01025",0,0,"Mobile",0,"11001"
"81","01039963000","2010_2014","01039",0,0,"Troy",0,"11102"
