"","GEOID","Time.Period","House.Age","Built"
"1","01001020100","2010_2014",1978,"1970-1989"
"2","01001020200","2010_2014",1975,"1970-1989"
"3","01001020300","2010_2014",1976,"1970-1989"
"4","01001020400","2010_2014",1968,"1950-1969"
"5","01001020500","2010_2014",1999,"After 89"
"6","01001020600","2010_2014",1984,"1970-1989"
"7","01001020700","2010_2014",1979,"1970-1989"
"8","01001020801","2010_2014",1994,"After 89"
"9","01001020802","2010_2014",1996,"After 89"
"10","01001020900","2010_2014",1992,"After 89"
"11","01001021000","2010_2014",1988,"1970-1989"
"12","01001021100","2010_2014",1986,"1970-1989"
"13","01003010100","2010_2014",1988,"1970-1989"
"14","01003010200","2010_2014",1984,"1970-1989"
"15","01003010300","2010_2014",1987,"1970-1989"
"16","01003010400","2010_2014",1989,"1970-1989"
"17","01003010500","2010_2014",1976,"1970-1989"
"18","01003010600","2010_2014",1976,"1970-1989"
"19","01003010701","2010_2014",1994,"After 89"
"20","01003010703","2010_2014",2002,"After 89"
"21","01003010704","2010_2014",1988,"1970-1989"
"22","01003010705","2010_2014",1990,"After 89"
"23","01003010800","2010_2014",1986,"1970-1989"
"24","01003010903","2010_2014",1997,"After 89"
"25","01003010904","2010_2014",1993,"After 89"
"26","01003010905","2010_2014",1995,"After 89"
"27","01003010906","2010_2014",1994,"After 89"
"28","01003011000","2010_2014",1992,"After 89"
"29","01003011101","2010_2014",1998,"After 89"
"30","01003011102","2010_2014",2000,"After 89"
"31","01003011201","2010_2014",1984,"1970-1989"
"32","01003011202","2010_2014",1972,"1970-1989"
"33","01003011300","2010_2014",1993,"After 89"
"34","01003011401","2010_2014",1992,"After 89"
"35","01003011403","2010_2014",2002,"After 89"
"36","01003011405","2010_2014",1999,"After 89"
"37","01003011406","2010_2014",1993,"After 89"
"38","01003011407","2010_2014",1993,"After 89"
"39","01003011408","2010_2014",1992,"After 89"
"40","01003011501","2010_2014",1989,"1970-1989"
"41","01003011502","2010_2014",1999,"After 89"
"42","01003011601","2010_2014",1992,"After 89"
"43","01003011602","2010_2014",1992,"After 89"
"44","01003990000","2010_2014",NA,"Before 1950"
"45","01005950100","2010_2014",1982,"1970-1989"
"46","01005950200","2010_2014",1978,"1970-1989"
"47","01005950300","2010_2014",1977,"1970-1989"
"48","01005950400","2010_2014",1974,"1970-1989"
"49","01005950500","2010_2014",1991,"After 89"
"50","01005950600","2010_2014",1984,"1970-1989"
"51","01005950700","2010_2014",1962,"1950-1969"
"52","01005950800","2010_2014",1974,"1970-1989"
"53","01005950900","2010_2014",1981,"1970-1989"
"54","01007010001","2010_2014",1990,"After 89"
"55","01007010002","2010_2014",1987,"1970-1989"
"56","01007010003","2010_2014",1982,"1970-1989"
"57","01007010004","2010_2014",1977,"1970-1989"
"58","01009050101","2010_2014",1981,"1970-1989"
"59","01009050102","2010_2014",1984,"1970-1989"
"60","01009050200","2010_2014",1991,"After 89"
"61","01009050300","2010_2014",1981,"1970-1989"
"62","01009050400","2010_2014",1983,"1970-1989"
"63","01009050500","2010_2014",1980,"1970-1989"
"64","01009050601","2010_2014",1993,"After 89"
"65","01009050602","2010_2014",1992,"After 89"
"66","01009050700","2010_2014",1990,"After 89"
"67","01011952100","2010_2014",1983,"1970-1989"
"68","01011952200","2010_2014",1983,"1970-1989"
"69","01011952500","2010_2014",1987,"1970-1989"
"70","01013952700","2010_2014",1991,"After 89"
"71","01013952800","2010_2014",1959,"1950-1969"
"72","01013952900","2010_2014",1982,"1970-1989"
"73","01013953000","2010_2014",1981,"1970-1989"
"74","01013953100","2010_2014",1980,"1970-1989"
"75","01013953200","2010_2014",1984,"1970-1989"
"76","01013953300","2010_2014",1984,"1970-1989"
"77","01013953400","2010_2014",1986,"1970-1989"
"78","01013953500","2010_2014",1970,"1970-1989"
"79","01015000200","2010_2014",1958,"1950-1969"
"80","01015000300","2010_2014",1960,"1950-1969"
"81","01015000400","2010_2014",1967,"1950-1969"
"82","01015000500","2010_2014",1951,"1950-1969"
"83","01015000600","2010_2014",1955,"1950-1969"
"84","01015000700","2010_2014",1970,"1970-1989"
