"","GEOID","SFHA","Flood.Factor"
"1","01003010100",0.152863618,0.21013597
"2","01003010200",0.033033033,0.096954097
"3","01003010300",0.062199185,0.125509071
"4","01003010400",0.038615742,0.099388057
"5","01003010500",0.013920241,0.124153499
"6","01003010600",0.009357455,0.071116656
"7","01003010701",0.065843621,0.115683585
"8","01003010703",0.006138342,0.073476867
"9","01003010704",0.044729542,0.138002774
"10","01003010705",0.037281636,0.100979974
"11","01003010800",0.022103658,0.082825203
"12","01003010903",0.045039165,0.075718016
"13","01003010904",0.053854277,0.110242872
"14","01003010905",0.023579202,0.07738815
"15","01003010906",0.033317691,0.048334115
"16","01003011000",0.072401817,0.16350521
"17","01003011101",0.024577026,0.057168299
"18","01003011102",0.094352617,0.151170799
"19","01003011201",0.056900213,0.100212314
"20","01003011202",0.034662045,0.118593711
"21","01003011300",0.325598991,0.445145019
"22","01003011401",0.166380578,0.232589505
"23","01003011403",0.165474829,0.217105263
"24","01003011405",0.530645453,0.584523594
"25","01003011406",0.43117831,0.515901981
"26","01003011407",0.601122579,0.602027883
"27","01003011408",0.726326066,0.76374878
"28","01003011501",0.004495977,0.076668244
"29","01003011502",0.030563237,0.079027798
"30","01003011601",0.161130483,0.181317673
"31","01003011602",0.098613792,0.139147219
"32","01013953000",0.019797199,0.115886045
"33","01023956800",0.150949855,0.16874893
"34","01023956900",0.148721517,0.161245434
"35","01023957000",0.090636091,0.171990172
"36","01025957500",0.068181818,0.150197628
"37","01025957601",0.064194798,0.167127836
"38","01025957602",0.01954023,0.108735632
"39","01025957700",0.176241135,0.215248227
"40","01025957800",0.05502759,0.133660331
"41","01025957901",0.0685077,0.157992565
"42","01025957902",0.022894042,0.08922806
"43","01025958001",0.054279749,0.130828114
"44","01025958002",0.203798054,0.285780454
"45","01039963000",0.026636441,0.097194673
"46","01047957000",0.213565536,0.254506569
"47","01053969800",0.129174436,0.117308018
"48","01053970300",0.072695551,0.133469032
"49","01053970400",0.01369863,0.108806262
"50","01053970500",0.024411013,0.101050241
"51","01061050100",0.089623717,0.128392246
"52","01061050300",0.068131869,0.141504649
"53","01061050400",0.068496158,0.095499451
"54","01061050600",0.043027888,0.057370518
"55","01069042000",0.08403576,0.13844189
"56","01069042100",0.040985304,0.074518733
"57","01085781100",0.075061728,0.169382716
"58","01091973100",0.079514416,0.121396055
"59","01091973200",0.071669794,0.134333959
"60","01091973300",0.135248547,0.174628793
"61","01097000200",0.320707071,1
"62","01097000401",0.08263773,0.785475793
"63","01097000402",0.75,1
"64","01097000500",0.304204993,0.498028909
"65","01097000600",0.107897664,0.36596218
"66","01097000701",0.152427184,0.214563107
