"","GEOID","Time.Period","County","Claims","Events","Commuting.Zone","Shoreline","cz","Income","Black","Hispanic","Pop.Density","Renters","Density","House.Age","Built","Flood.Factor","T","policies","aveUnits","Coverage","SFHA","Risk.Diff"
"1","01003010300","2010_2014","01003",1,0,"Mobile",1,11001,51955.4,16.6196063951958,0.415218328920096,53.7769439264649,14.3712259482087,"Very Low Density(Rural)",1987,"1970-1989",0.125509071,0,146,3055,0.6478579583729,6.2199185,-6.3309886
"2","01003010300","2015_2019","01003",0,0,"Mobile",1,11001,53820.8,15.6947518721607,1.90866916904305,63.8549301608519,17.5264014559233,"Very Low Density(Rural)",1984,"1970-1989",0.125509071,1,117.6,3126,0.508974537102506,6.2199185,-6.3309886
"3","01003010400","2010_2014","01003",3,0,"Mobile",1,11001,47155.6,4.57168632033311,2.00333568452471,16.5924892370928,14.5184470994273,"Very Low Density(Rural)",1989,"1970-1989",0.099388057,0,48,1998,0.323315834654151,3.8615742,-6.0772315
"4","01003010400","2015_2019","01003",4,0,"Mobile",1,11001,48929.4,6.5276383682807,4.092179042759,16.7048664076792,18.8882337272283,"Very Low Density(Rural)",1992,"After 89",0.099388057,1,29.8,2219,0.178642425226719,3.8615742,-6.0772315
"5","01003010703","2010_2014","01003",8,0,"Mobile",1,11001,79786.2,5.01924640555033,3.81872769114816,249.776347786204,24.2609399372378,"Very Low Density(Rural)",2002,"After 89",0.073476867,0,269.2,6202,0.587976685501731,0.6138342,-6.7338525
"6","01003010703","2015_2019","01003",0,0,"Mobile",1,11001,88843.2,6.75823788873544,3.46932143081414,326.465981021849,21.5360730607049,"Very Low Density(Rural)",2005,"After 89",0.073476867,1,399.8,7261,0.747143747131127,0.6138342,-6.7338525
"7","01003010704","2010_2014","01003",21,0,"Mobile",1,11001,71582,5.56569535668186,3.84841755085784,1566.89931795729,15.0316947493522,"Low Density(Suburban)",1988,"1970-1989",0.138002774,0,78,2177,0.484519817694959,4.4729542,-9.3273232
"8","01003010704","2015_2019","01003",4,0,"Mobile",1,11001,68165.6,19.6087777457473,3.2420333807803,1822.70831750133,25.0536378255297,"Low Density(Suburban)",1987,"1970-1989",0.138002774,1,162.8,2017,1.09744226843073,4.4729542,-9.3273232
"9","01003010705","2010_2014","01003",7,0,"Mobile",1,11001,48489.2,12.1422213733239,3.34930804710491,1275.62660469872,39.6778015069725,"Low Density(Suburban)",1990,"After 89",0.100979974,0,387.8,4170,1.26518136558745,3.7281636,-6.3698338
"10","01003010705","2015_2019","01003",0,0,"Mobile",1,11001,56067.2,15.9073175522389,5.00233494345463,1414.52506650991,48.4100230160873,"Low Density(Suburban)",1993,"After 89",0.100979974,1,272.4,4349,0.850567455888033,3.7281636,-6.3698338
